	predicted_rank	predicted_protein
H_9_FKDN240279193-1A_22CNTVLT4_L7	-0.2776	0.09525116662091682
H_21_FKDN240279204-1A_22CNTVLT4_L8	-0.2776	0.09525116662091682
H_16_FKDN240279199-1A_22CNTVLT4_L8	-0.1514	0.05194894317869887
H_27_FKDN240279210-1A_22FJ_concatenated	-0.2776	0.09525116662091682
H_3_FKDN240279187-1A_22CNTVLT4_L7	-0.1514	0.05194894317869887
H_10_FKDN240279194-1A_22CNTVLT4_L8	-0.41989999999999994	0.1440776832281087
H_22_FKDN240279205-1A_22CNTVLT4_L8	-0.2776	0.09525116662091682
H_8_FKDN240279192-1A_22CNTVLT4_L7	-0.6132	0.21040351358770243
H_17_FKDN240279200-1A_22CNTVLT4_L8	-0.41989999999999994	0.1440776832281087
H_24_FKDN240279207-1A_22FKLWLT4_L4	-0.3911	0.13419571781498765
H_6_FKDN240279190-1A_22CNTVLT4_L7	-0.1514	0.05194894317869887
H_18_FKDN240279201-1A_22CNTVLT4_L8	-0.24130000000000001	0.08279577271479549
H_5_FKDN240279189-1A_22CNTVLT4_L7	-0.3447	0.1182747735382926
H_4_FKDN240279188-1A_22CNTVLT4_L7	-0.6132	0.21040351358770243
H_26_FKDN240279209-1A_22FKLWLT4_L4	-0.1262	0.04330222344221795
H_20_FKDN240279203-1A_22CNTVLT4_L8	-0.2776	0.09525116662091682
H_11_FKDN240279195-1A_22CNTVLT4_L8	-0.1262	0.04330222344221795
H_2_FKDN240279186-1A_22CNTVLT4_L7	-0.3911	0.13419571781498765
H_23_FKDN240279206-1A_22FJ_concatenated	-0.3447	0.1182747735382926
H_12_FKDN240279196-1A_22CNTVLT4_L8	-0.1262	0.04330222344221795
H_14_FKDN240279197-1A_22CNTVLT4_L8	-0.2776	0.09525116662091682
H_1_FKDN240279185-1A_22CNTVLT4_L7	-0.3447	0.1182747735382926
H_19_FKDN240279202-1A_22CNTVLT4_L8	-0.3911	0.13419571781498765
H_25_FKDN240279208-1A_22FKLWLT4_L4	-0.1262	0.04330222344221795
H_7_FKDN240279191-1A_22CNTVLT4_L7	-0.2776	0.09525116662091682
H_15_FKDN240279198-1A_22CNTVLT4_L8	-0.1514	0.05194894317869887
