	predicted_rank	predicted_protein
H_9_FKDN240279193-1A_22CNTVLT4_L7	-1.985954	1.2581241479274043
H_21_FKDN240279204-1A_22CNTVLT4_L8	-1.985954	1.2581241479274043
H_16_FKDN240279199-1A_22CNTVLT4_L8	-2.461433	1.5593454308636527
H_27_FKDN240279210-1A_22FJ_concatenated	-2.2236935	1.4087347893955284
H_3_FKDN240279187-1A_22CNTVLT4_L7	-2.461433	1.5593454308636527
H_10_FKDN240279194-1A_22CNTVLT4_L8	-2.461433	1.5593454308636527
H_22_FKDN240279205-1A_22CNTVLT4_L8	-1.985954	1.2581241479274043
H_8_FKDN240279192-1A_22CNTVLT4_L7	-2.461433	1.5593454308636527
H_17_FKDN240279200-1A_22CNTVLT4_L8	-2.461433	1.5593454308636527
H_24_FKDN240279207-1A_22FKLWLT4_L4	-2.461433	1.5593454308636527
H_6_FKDN240279190-1A_22CNTVLT4_L7	-2.461433	1.5593454308636527
H_18_FKDN240279201-1A_22CNTVLT4_L8	-2.2236935	1.4087347893955284
H_5_FKDN240279189-1A_22CNTVLT4_L7	-2.461433	1.5593454308636527
H_4_FKDN240279188-1A_22CNTVLT4_L7	-2.461433	1.5593454308636527
H_26_FKDN240279209-1A_22FKLWLT4_L4	-2.2236935	1.4087347893955284
H_20_FKDN240279203-1A_22CNTVLT4_L8	-1.985954	1.2581241479274043
H_11_FKDN240279195-1A_22CNTVLT4_L8	-2.2236935	1.4087347893955284
H_2_FKDN240279186-1A_22CNTVLT4_L7	-2.2236935	1.4087347893955284
H_23_FKDN240279206-1A_22FJ_concatenated	-1.985954	1.2581241479274043
H_12_FKDN240279196-1A_22CNTVLT4_L8	-2.2236935	1.4087347893955284
H_14_FKDN240279197-1A_22CNTVLT4_L8	-2.461433	1.5593454308636527
H_1_FKDN240279185-1A_22CNTVLT4_L7	-2.461433	1.5593454308636527
H_19_FKDN240279202-1A_22CNTVLT4_L8	-2.461433	1.5593454308636527
H_25_FKDN240279208-1A_22FKLWLT4_L4	-2.2236935	1.4087347893955284
H_7_FKDN240279191-1A_22CNTVLT4_L7	-1.985954	1.2581241479274043
H_15_FKDN240279198-1A_22CNTVLT4_L8	-2.461433	1.5593454308636527
